,Predicted_Waveform,Waveform,Index,Match,Magnitude,Depth,Distance,Azimuthal Gap,Root Mean Square
0,md,md,0,True,1.2,1.038,0.01532,151.0,0.08
1,ml,mb,1,False,0.51,2.015,0.098,177.0,0.01
2,md,md,2,True,0.5,11.7,5.367,205.21,0.0798
3,mb,md,3,False,0.59,2.825,0.00991,299.0,0.22
4,ml,md,4,False,4.0,254.5,0.03552,147.0,0.43
5,mb,mb,5,True,1.77,33.92,0.03433,138.0,0.25
6,mb,mb,6,True,0.81,0.708,0.004505,78.0,0.01
7,md,md,7,True,0.85,2.229,0.01261,190.0,0.07
8,mb,ml,8,False,1.07,1.334,0.004505,101.0,0.06
9,md,ml,9,False,0.96,1.441,0.118,97.0,0.1
10,ml,ml,10,True,2.04,1.68,1.09,82.0,0.06
11,mb,md,11,False,0.54,8.54,0.008108,79.0,0.07
12,ml,ml,12,True,0.6,2.469,0.08536,200.0,0.07
13,md,ml,13,False,1.44,3.925,0.038,213.0,0.3
14,md,md,14,True,0.46,8.17,1.282,109.0,0.09
15,md,ml,15,False,0.88,1.98,0.009009,74.0,0.01
16,ml,ml,16,True,0.3,1.996,0.035,145.0,0.24
17,ml,ml,17,True,2.86,2.004,0.01532,28.0,0.07
18,ml,md,18,False,0.92,1.856,0.037,92.0,0.12
19,mb,ml,19,False,1.16,3.394,4.869,270.0,0.14
20,mb,mb,20,True,0.88,2.919,0.0257,103.0,0.03
21,md,md,21,True,1.3,13.0,0.1295,152.48,0.157
22,mb,mb,22,True,4.3,35.0,0.028,139.0,0.57
23,ml,mb,23,False,1.57,1.284,2.16,51.0,0.06
24,ml,md,24,False,0.75,0.859,0.0856,101.0,0.05
25,mb,md,25,False,0.83,14.679,0.01351,99.0,0.11
26,md,ml,26,False,1.1,6.4,2.734,57.72,0.1331
27,mb,md,27,False,4.5,50.34,0.008108,126.0,0.85
28,ml,md,28,False,1.2,1.613,0.01081,77.0,0.13
29,ml,md,29,False,0.43,1.852,0.03603,126.0,0.01
30,mb,md,30,False,0.9,5.9,0.473,53.68,0.156
31,mb,ml,31,False,1.1,8.306,0.2249,176.0,0.05
32,ml,md,32,False,0.3,4.4,0.03964,129.21,0.0844
33,mb,md,33,False,0.97,1.651,3.91,96.0,0.1
34,mb,ml,34,False,4.5,35.0,0.03964,202.0,0.47
35,md,md,35,True,2.06,1.716,0.3715,83.0,0.07
36,md,md,36,True,0.47,0.749,0.922,129.0,0.07
37,mb,mb,37,True,2.14,1.621,0.236,86.0,0.07
38,mb,md,38,False,1.23,1.258,0.007207,89.0,0.12
39,md,ml,39,False,0.69,1.87,0.24,61.0,0.16
40,ml,mb,40,False,0.68,1.619,0.0369,94.0,0.08
41,mb,ml,41,False,1.75,7.7,3.857,69.0,0.07
42,ml,ml,42,True,4.1,246.85,0.03243,108.0,0.61
43,md,ml,43,False,1.33,50.779,0.01982,103.0,0.19
44,md,ml,44,False,2.57,2.064,0.02449,28.0,0.07
45,ml,md,45,False,1.91,1.491,1.42,85.0,0.08
46,md,md,46,True,4.8,10.0,1.47,45.0,1.23
47,mb,ml,47,False,0.68,1.457,1.464,106.0,0.01
48,mb,ml,48,False,2.08,1.424,0.04054,70.0,0.08
49,md,ml,49,False,1.34,1.735,0.01171,31.0,0.04
50,mb,md,50,False,0.54,15.91,0.02252,78.0,0.11
51,mb,md,51,False,1.55,0.27,0.03383,145.0,0.17
52,mb,ml,52,False,1.09,1.258,0.002703,149.0,0.11
53,mb,ml,53,False,0.54,2.141,0.007207,228.0,0.24
54,md,md,54,True,1.1,16.0,0.67643141,307.88,0.0817
55,mb,md,55,False,2.47,3.25,1.705,61.0,0.2
56,md,md,56,True,1.16,4.904,0.007207,221.0,0.09
57,mb,ml,57,False,4.7,36.63,0.345,223.0,0.7
58,mb,md,58,False,1.23,0.878,1.06719856,81.0,0.15
59,mb,md,59,False,2.9,4.512,0.03596,69.0,0.78
60,mb,ml,60,False,1.47,4.531,0.009009,95.0,0.07
61,md,ml,61,False,1.13,1.368,0.48509025,77.0,0.12
62,ml,md,62,False,2.0,3.121,0.32249519,150.0,0.48
63,ml,ml,63,True,3.8,10.0,0.136,162.0,0.86
64,mb,md,64,False,0.7,7.7,0.2883592,296.31,0.0757
65,mb,md,65,False,1.09,1.564,0.01867,69.0,0.11
66,mb,md,66,False,0.3,2.435,0.538,109.0,0.05
67,mb,md,67,False,0.58,1.729,0.04865,76.0,0.06
68,mb,md,68,False,2.1,1.576,0.676,83.0,0.09
69,mb,ml,69,False,0.2,17.7,0.00991,264.66,0.1303
70,ml,md,70,False,0.94,2.356,0.03706,105.0,0.15
71,md,md,71,True,0.48,7.72,1.419,79.0,0.11
72,mb,md,72,False,4.2,56.11,0.03658,54.0,0.93
73,md,md,73,True,1.82,3.267,1.255,50.0,0.09
74,mb,md,74,False,0.48,1.105,0.1306,212.0,0.0
75,mb,mb,75,True,0.58,16.799,0.0341,50.0,0.11
76,ml,mb,76,False,4.5,128.26,1.391,69.0,1.35
77,mb,mc,77,False,1.41,2.356,0.008108,133.0,0.16
78,md,ml,78,False,0.63,1.148,0.001802,265.0,0.29
79,ml,ml,79,True,4.3,10.0,0.0209,201.0,0.88
80,md,ml,80,False,4.3,10.0,0.01982,231.0,1.3
81,mb,md,81,False,1.65,4.72,1.305,40.0,0.22
82,mb,md,82,False,0.19,2.645,0.01003,309.0,0.01
83,mb,ml,83,False,0.82,0.858,1.202,89.0,0.14
84,mb,ml,84,False,0.48,0.531,0.1,185.0,0.01
85,ml,md,85,False,0.19,1.554,1.239,210.0,0.02
86,mb,ml,86,False,0.41,0.218,0.01532,128.0,0.06
87,mb,md,87,False,1.56,8.02,0.01261,67.0,0.16
88,ml,ml,88,True,0.85,2.079,0.114,93.0,0.03
89,mb,ml,89,False,0.19,2.684,8.016,178.0,0.07
90,md,md,90,True,1.09,6.836,0.07,265.0,0.02
91,md,md,91,True,0.56,2.229,0.09806,105.0,0.02
92,mb,ml,92,False,0.42,1.396,0.056,114.0,0.1
93,ml,ml,93,True,2.8,32.0,0.02713,270.0,0.33
94,mb,ml,94,False,1.46,1.467,0.07969,56.0,0.07
95,mb,ml,95,False,0.82,1.559,0.041,227.0,0.21
96,mb,md,96,False,2.35,1.457,5.922,42.0,0.08
97,mb,ml,97,False,2.39,1.834,5.511,94.0,0.08
98,mb,md,98,False,4.0,22.72,0.0973,68.0,1.38
99,md,md,99,True,0.64,1.113,0.5093448,95.0,0.06
100,mb,ml,100,False,4.3,56.24,0.02585,90.0,0.71
101,mb,md,101,False,0.65,2.491,0.01171,102.0,0.1
102,mb,mb,102,True,2.9,30.0,0.01261,306.0,0.15
103,md,md,103,True,1.67,11.332,0.156,298.0,0.12
104,mb,md,104,False,0.23,7.48,0.01171,144.0,0.16
105,ml,md,105,False,0.64,1.263,0.09556,127.0,0.13
106,ml,md,106,False,1.42,1.815,0.133,53.0,0.07
107,md,mww,107,False,2.4,16.0,0.009009,252.0,0.09
108,mb,md,108,False,3.4,149.8,0.01351,154.0,0.28
109,md,mb,109,False,2.8,17.0,0.04399,208.8,0.09
110,md,md,110,True,1.1,10.8,0.1165,221.4,0.0549
111,ml,md,111,False,1.2,4.5,0.1135,107.999991360001,0.18
